tokens,labels
communlcatlons,0
network.,1
Member,1
companles,0
are,1
strongly,1
encouraged,1
to,1
provlde,0
thls,0
needed,1
support.,1
The,1
state,1
advocacy,1
"program""",1
1nclud1ng,0
the,1
new,1
CMA/LINC,1
computer,1
network.,1
will,1
be,1
heavlly,0
1nvolved,0
1n,0
1995,1
1n,0
the,1
crltlcal,0
envlronmental,1
lssues,0
1dent1£1ed,0
by,1
the,1
Natlonal,0
Conference,1
of,1
State,1
"Leglslators,",0
"namely,",1
groundwater,1
and,1
the,1
dlsposal,0
of,1
hazardous,1
wastes.,1
of,1
"course,",1
other,1
lssues,0
Hill,1
contlnue,0
m,1
be,1
of,1
major,1
concern,1
such,1
as,1
state,1
Superfund:,0
whlch,0
are,1
currently,1
under,1
detalled,0
study,1
by,1
the,1
cm,0
State,1
Hazardous,1
Waste/Groundwater,1
Task,1
Group.,1
State,1
rlghtitoiknow,0
actlon,0
contlnues,0
to,1
grow,1
and,1
even,1
expand,1
1n,0
scope.,1
New,1
Jersey's,1
"""Toxlc",0
Catastrophe,1
Preventlon,0
"Act"",",1
Signed,0
1n,0
early,1
"January,",1
not,1
only,1
requlres,0
the,1
reportlng,0
of,1
1nformatlon,0
concernlng,0
1ndustry's,0
operatlons,0
but,1
also,1
allows,1
the,1
state,1
to,1
order,1
rlsk,0
reductlon,0
measures,1
or,1
even,1
order,1
the,1
cessatlon,0
of,1
operatlons.,0
Toxlc,0
air,1
will,1
become,1
even,1
more,1
unportant,0
at,1
the,1
state,1
level,1
as,1
Federal,1
EPA,1
pushes,1
thls,0
lssue,0
along,1
Hlth,0
groundwater,1
to,1
the,1
states.,1
CMA'S,1
State,1
Affalrs,0
program,1
has,1
been,1
an,1
actlve,0
partlclpant,0
1n,0
CMA'S,1
development,1
of,1
an,1
alr,0
toxlcs,0
pollcy.,0
A,1
"new,",1
but,1
rapldly,0
growlng,0
lssue,0
at,1
the,1
state,1
and,1
federal,1
level,1
15,1
liability,1
1nsurance,0
and,1
the,1
related,1
issue,1
of,1
tort,1
reform.,1
CMA'S,1
State,1
Affalrs,0
program,1
15,1
actlvely,0
partlclpatlng,0
1n,0
3,1
large,1
coalltlon,0
of,1
1nterested,0
trade,1
assoclatlons,0
and,1
1nd1v1dual,0
companles,0
under,1
the,1
ausplces,0
of,1
the,1
Amerlcan,0
Leglslatlve,0
Exchange,1
Councll.,0
Nearly,1
all,1
states,1
are,1
1nvolved,0
1n,0
