doc_id,ocr_tokens,correct_tokens,labels
1,communlcatlons,communications,1
1,network.,network.,0
1,Member,Member,0
1,companles,companies,1
1,are,are,0
1,strongly,strongly,0
1,encouraged,encouraged,0
1,to,to,0
1,provlde,provide,1
1,thls,this,1
1,needed,needed,0
1,support.,support.,0
1,The,The,0
1,state,state,0
1,advocacy,advocacy,0
1,"program""",program*,1
1,1nclud1ng,including,1
1,the,the,0
1,new,new,0
1,CMA/LINC,CMA/LINC,0
1,computer,computer,0
1,network.,"network,",1
1,will,will,0
1,be,be,0
1,heavlly,heavily,1
1,1nvolved,involved,1
1,1n,in,1
1,1995,1986,1
1,1n,in,1
1,the,the,0
1,crltlcal,critical,1
1,envlronmental,environmental,1
1,lssues,issues,1
1,1dent1£1ed,identified,1
1,by,by,0
1,the,the,0
1,Natlonal,National,1
1,Conference,Conference,0
1,of,of,0
1,State,State,0
1,"Leglslators,","Legislators,",1
1,"namely,","namely,",0
1,groundwater,groundwater,0
1,and,and,0
1,the,the,0
1,dlsposal,disposal,1
1,of,of,0
1,hazardous,hazardous,0
1,wastes.,wastes.,0
1,of,Of,1
1,"course,","course,",0
1,other,other,0
1,lssues,issues,1
1,Waste/Groundwater,Waste/Groundwater,0
1,Task,Task,0
1,Group.,Group.,0
1,State,State,0
1,rlghtitoiknow,right-to-know,1
1,actlon,action,1
1,contlnues,continues,1
1,to,to,0
1,grow,grow,0
1,and,and,0
1,even,even,0
1,expand,expand,0
1,1n,in,1
1,scope.,scope.,0
1,New,New,0
1,Jersey's,Jersey's,0
1,"""Toxlc","""Toxic",1
1,Catastrophe,Catastrophe,0
1,Preventlon,Prevention,1
1,"Act"",","Act"",",0
1,Signed,signed,1
1,1n,in,1
1,early,early,0
1,"January,","January,",0
1,not,not,0
1,only,only,0
1,requlres,requires,1
1,the,the,0
1,reportlng,reporting,1
1,of,of,0
1,1nformatlon,information,1
1,concernlng,concerning,1
1,1ndustry's,industry's,1
1,operatlons,operations,1
1,but,but,0
1,also,also,0
1,allows,allows,0
1,the,the,0
1,state,state,0
1,to,to,0
1,order,order,0
1,rlsk,risk,1
1,reductlon,reduction,1
1,measures,measures,0
1,or,or,0
1,even,even,0
1,order,order,0
1,the,the,0
1,cessatlon,cessation,1
1,of,of,0
1,operatlons.,operations.,1
1,Toxlc,Toxic,1
1,air,air,0
1,will,will,0
1,become,become,0
1,even,even,0
1,more,more,0
1,unportant,important,1
1,at,at,0
1,the,the,0
1,state,state,0
1,level,level,0
1,as,as,0
1,Federal,Federal,0
1,EPA,EPA,0
1,pushes,pushes,0
1,thls,this,1
1,lssue,issue,1
1,along,along,0
1,Hlth,with,1
1,groundwater,groundwater,0
1,to,to,0
1,the,the,0
1,states.,states.,0
1,CMA'S,CMA's,1
1,State,State,0
1,Affalrs,Affairs,1
1,program,program,0
1,has,has,0
1,been,been,0
1,an,an,0
1,actlve,active,1
1,partlclpant,participant,1
1,1n,in,1
1,CMA'S,CMA's,1
1,development,development,0
1,of,of,0
1,an,an,0
1,alr,air,1
1,toxlcs,toxics,1
1,pollcy.,policy.,1
1,A,A,0
1,"new,","new,",0
1,but,but,0
1,rapldly,rapidly,1
1,growlng,growing,1
1,lssue,issue,1
1,at,at,0
1,the,the,0
1,state,state,0
1,and,and,0
1,federal,federal,0
1,level,level,0
1,15,is,1
1,liability,liability,0
1,1nsurance,insurance,1
1,and,and,0
1,the,the,0
1,related,related,0
1,issue,issue,0
1,of,of,0
1,tort,tort,0
1,reform.,reform.,0
1,CMA'S,CMA's,1
1,State,State,0
1,Affalrs,Affairs,1
1,program,program,0
1,15,is,1
1,actlvely,actively,1
1,partlclpatlng,participating,1
1,1n,in,1
1,3,a,1
1,large,large,0
1,coalltlon,coalition,1
1,of,of,0
1,1nterested,interested,1
1,trade,trade,0
1,assoclatlons,associations,1
1,and,and,0
1,1nd1v1dual,individual,1
1,companles,companies,1
1,under,under,0
1,the,the,0
1,ausplces,auspices,1
1,of,of,0
1,the,the,0
1,Amerlcan,American,1
1,Leglslatlve,Legislative,1
1,Exchange,Exchange,0
1,Councll.,Council.,1
1,Nearly,Nearly,0
1,all,all,0
1,states,states,0
1,are,are,0
1,1nvolved,involved,1
1,1n,in,1
1,some,some,0
1,aspect,aspect,0
1,of,of,0
1,thls,this,1
1,issue.,issue.,0
1,of,Of,1
1,"course,","course,",0
1,hazardous,hazardous,0
1,materlal,material,1
1,"transportatlon,","transportation,",1
1,publlc,public,1
1,compensatlon,compensation,1
1,and,and,0
1,chronlc,chronic,1
1,health,health,0
1,lssues,issues,1
1,Hill,will,1
1,Medla,Media,1
1,Page,Page,0
1,3,3,0
1,subject,subject,0
1,of,of,0
1,air,air,0
1,toxlcs.,toxics.,1
1,The,The,0
1,flrst,first,1
1,annlversary,anniversary,1
1,of,of,0
1,Bhopal,Bhopal,0
1,and,and,0
1,related,related,0
1,and.,"and,",1
1,1n,in,1
1,depth,depth,0
1,medla,media,1
1,"analysls,","analysis,",1
1,made,made,0
1,headllnes,headlines,1
1,at,at,0
1,the,the,0
1,same,same,0
1,tune.,time.,1
1,Reauthor12atlon,Reauthori2ation,1
1,of,of,0
1,Superfund,Superfund,0
1,probably,probably,0
1,galned,gained,1
1,more,more,0
1,medla,media,1
1,attentlon,attention,1
1,than,than,0
1,"expected,","expected,",0
1,prlmarlly,primarily,1
1,because,because,0
1,of,of,0
1,1:5,its,1
1,1ntruslon,intrusion,1
1,1nto,into,1
1,the,the,0
1,budget,budget,0
1,rather,rather,0
1,than,than,0
1,edltorlal,editorial,1
1,coverage.,coverage.,0
1,1995,1985,1
1,7,-,1
1,as,as,0
1,mlght,might,1
1,have,have,0
1,been,been,0
1,antlclpated,anticipated,1
1,followlng,following,1
1,the,the,0
1,December,December,0
1,1994,1984,1
1,Bhopal,Bhopal,0
1,accldent,accident,1
1,7,-,1
1,became,became,0
1,a,a,0
1,year,year,0
1,of,of,0
1,1ntense,intense,1
1,envlronmental,environmental,1
1,inquiry.,inquiry.,0
1,Inltlal,Initial,1
1,1nterest,interest,1
1,was,was,0
1,1n,in,1
1,the,the,0
1,potentlal,potential,1
1,for,for,0
1,acute,acute,0
1,1nc1dents,incidents,1
1,1n,in,1
1,the,the,0
1,Unlted,United,1
1,States.,States.,0
1,Storles,Stories,1
1,focused,focused,0
1,on,on,0
1,questlons,questions,1
1,of,of,0
1,{allure,failure,1
1,to,to,0
1,regulate,regulate,0
1,or,or,0
1,1nadequacy,inadequacy,1
1,of,of,0
1,exlstlng,existing,1
1,law.,law.,0
1,For,For,0
1,the,the,0
1,"medla,","media,",1
1,the,the,0
1,"Instltute,","Institute,",1
1,w.v.,W.V.,1
1,release,release,0
1,answered,answered,0
1,the,the,0
1,questlon,question,1
1,"""can","""can",0
1,1:,it,1
1,happen,happen,0
1,"here?""","here?""",0
1,Attentlon,Attention,1
1,to,to,0
1,"""acute""","""acute""",0
1,threats,threats,0
1,accelerated,accelerated,0
1,1n,in,1
1,thelr,their,1
1,Bhopal,Bhopal,0
1,retrospectlve.,retrospective.,1
1,Medla,Media,1
1,from,from,0
1,chemlcal,chemical,1
1,states,states,0
1,such,such,0
1,as,as,0
1,"Texas,","Texas,",0
1,"Louisiana,","Louisiana,",0
1,west,west,0
1,"Virginia,","Virginia,",0
1,"Illlnols,","Illinois,",1
1,Dhlo,Ohio,1
1,and,and,0
1,Pennsylvanla,Pennsylvania,1
1,were,were,0
1,concerned,concerned,0
1,safety,safety,0
1,and,and,0
1,deslgn.,design.,1
1,New,New,0
1,Jersey,Jersey,0
1,attentlon,attention,1
1,1ncluded,included,1
1,"""chronlc""","""chronic""",1
1,lssues,issues,1
1,as,as,0
1,well,well,0
1,as,as,0
1,"""acute,""","""acute,""",0
1,raising,raising,0
1,the,the,0
1,1dea,idea,1
1,of,of,0
1,affect,affect,0
1,on,on,0
1,"communltles,","communities,",1
1,as,as,0
1,opposed,opposed,0
1,to,to,0
1,workers.,workers.,0
1,For,For,0
1,the,the,0
1,most,most,0
1,part,part,0
1,our,our,0
1,actlvltles,activities,1
1,relatlng,relating,1
1,to,to,0
1,Superfund,Superfund,0
1,were,were,0
1,proactlve.,proactive.,1
1,Bhopal/alr,Bhopal/air,1
1,toxlcs,toxics,1
1,actlvltles,activities,1
1,were,were,0
1,responslve.,responsive.,1
1,The,The,0
1,natlonal,national,1
1,medla,media,1
1,appeared,appeared,0
1,to,to,0
1,understand,understand,0
1,the,the,0
1,chemlcal,chemical,1
1,1ndustry,industry,1
1,ratlonale,rationale,1
1,for,for,0
1,a,a,0
1,broad,broad,0
1,based,based,0
1,tax,tax,0
1,and,and,0
1,generally,generally,0
1,referred,referred,0
1,to,to,0
1,that,that,0
1,posltlon,position,1
1,1n,in,1
1,thelr,their,1
1,"coverage,","coverage,",0
1,1n,in,1
1,addltlon.,"addition,",1
1,those,those,0
1,reporters,reporters,0
1,who,who,0
1,have,have,0
1,covered,covered,0
1,the,the,0
1,story,story,0
1,generatlon,generation,1
1,tax,tax,0
1,bears,bears,0
1,llttle,little,1
1,relatlonshlp,relationship,1
1,to,to,0
1,hazardous,hazardous,0
1,waste,waste,0
1,sltes.,sites.,1
1,Courts,Courts,0
1,and,and,0
1,Agency,Agency,0
1,Dealslons,Decisions,1
1,"affldavlts,","affidavits,",1
1,convlnced,convinced,1
1,an,an,0
1,Admlnlstratlve,Administrative,1
1,Law,Law,0
1,Judge,Judge,0
1,to,to,0
1,declde,decide,1
1,that,that,0
1,two,two,0
1,and,and,0
1,thus,thus,0
1,exempt,exempt,0
1,from,from,0
1,antltrust,antitrust,1
1,laws.,laws.,0
1,Whlle,While,1
1,thls,this,1
1,declslon,decision,1
1,15,is,1
1,llkely,likely,1
1,to,to,0
1,be,be,0
1,appealed,appealed,0
1,to,to,0
1,the,the,0
1,entlre,entire,1
1,Commlsslon.,"Commission,",1
1,1:,it,1
1,may,may,0
1,serve,serve,0
1,as,as,0
1,a,a,0
1,precedent,precedent,0
1,to,to,0
1,prevent,prevent,0
1,chemlcal,chemical,1
1,parcel,parcel,0
1,tankers,tankers,0
1,from,from,0
1,obtalnlng,obtaining,1
1,antltrust,antitrust,1
1,exemptlons,exemptions,1
1,for,for,0
1,price,price,0
1,settlng,setting,1
1,and,and,0
1,market,market,0
1,allocatlon,allocation,1
1,agreements.,agreements.,0
1,Those,Those,0
1,actlvltles,activities,1
1,could,could,0
1,cost,cost,0
1,the,the,0
1,chemlcal,chemical,1
1,1ndustry,industry,1
1,2mm,200,1
1,mllllon,million,1
1,dollars,dollars,0
1,per,per,0
1,year,year,0
1,1n,in,1
1,1ncreased,increased,1
1,rates,rates,0
1,on,on,0
1,bulk,bulk,0
1,chemlcal,chemical,1
1,exports,exports,0
1,and,and,0
1,unports.,imports.,1
1,Federal,Federal,0
1,Energy,Energy,0
1,Regulatory,Regulatory,0
1,Commlsslon.,Commission.,1
1,Another,Another,0
1,vlctoryl,victoryl,1
1,The,The,0
1,Federal,Federal,0
1,Page,Page,0
1,4,4,0
1,4357,436),1
1,15,is,1
1,1ntended,intended,1
1,to,to,0
1,promote,promote,0
1,competltlon,competition,1
1,1n,in,1
1,the,the,0
1,natural,natural,0
1,gas,gas,0
1,market,market,0
1,by,by,0
1,facllltatlng,facilitating,1
1,the,the,0
1,movement,movement,0
1,of,of,0
1,gas,gas,0
1,from,from,0
1,the,the,0
1,producer,producer,0
1,to,to,0
1,the,the,0
1,user.,user.,0
1,When,When,0
1,fully,fully,0
1,unplemented,implemented,1
1,by,by,0
1,the,the,0
1,"pipellnes,","pipelines,",1
1,there,there,0
1,Will,will,1
1,be,be,0
1,a,a,0
1,substantlal,substantial,1
1,cost,cost,0
1,agalnst,against,1
1,1ncluslon,inclusion,1
1,of,of,0
1,a,a,0
1,new,new,0
1,block,block,0
1,bllllng,billing,1
1,mechanlsm,mechanism,1
1,1n,in,1
1,the,the,0
1,flnal,final,1
1,rule.,rule.,0
1,CMA,CMA,0
1,testlfled,testified,1
1,that,that,0
1,block,block,0
1,bllllng,billing,1
1,would,would,0
1,slgnlflcantly,significantly,1
1,ralse,raise,1
1,the,the,0
1,price,price,0
1,of,of,0
1,that,that,0
1,annual,annual,0
1,cost,cost,0
1,to,to,0
1,the,the,0
1,chemlcal,chemical,1
1,1ndustry,industry,1
1,would,would,0
1,be,be,0
1,approxlmately,approximately,1
1,$550,$660,1
1,users.,users.,0
1,However.,"However,",1
1,the,the,0
1,Commlsslon,Commission,1
1,15,is,1
1,contlnulng,continuing,1
1,1::,its,1
1,assessment,assessment,0
1,of,of,0
1,the,the,0
1,advantages,advantages,0
1,and,and,0
1,dlsadvantages,disadvantages,1
1,of,of,0
1,block,block,0
1,bllllng,billing,1
1,and,and,0
1,further,further,0
1,actlon,action,1
1,15,is,1
1,5:111,still,1
1,posslble.,possible.,1
1,Hazardous,Hazardous,0
1,Waste,Waste,0
1,(Superfund),(Superfund),0
1,Congresslonal,Congressional,1
1,Developments,Developments,0
1,and,and,0
1,Response,Response,0
1,Senate,Senate,0
1,Actlvlty,Activity,1
1,The,The,0
1,Senate,Senate,0
1,passed,passed,0
1,3.x.,H.R.,1
1,2005,2005,0
1,on,on,0
1,September,September,0
1,"25,","26,",1
1,the,the,0
1,Superfund,Superfund,0
1,reauthorlzatlon,reauthorization,1
1,for,for,0
1,Elva,five,1
1,years.,years.,0
1,The,The,0
1,leglslatlon,legislation,1
1,Hill,will,1
1,1ncrease,increase,1
1,nearly,nearly,0
1,flvefold,fivefold,1
1,the,the,0
1,money,money,0
1,avaliable,available,1
1,to,to,0
1,clean,clean,0
1,up,up,0
1,abandoned,abandoned,0
1,hazardous,hazardous,0
1,waste,waste,0
1,sltes,sites,1
1,by,by,0
1,freezlng,freezing,1
1,the,the,0
1,feedstock,feedstock,0
1,tax,tax,0
1,and,and,0
1,unposlng,imposing,1
1,a,a,0
1,broadibased,broad-based,1
1,exclse,excise,1
1,tax,tax,0
1,on,on,0
1,all,all,0
1,manufacturers.,manufacturers.,0
